timestamp_ms,player_id,x,y
1764882598727,2,11,5
1764882598781,2,11,5
1764882598829,2,11,5
1764882598882,2,11,5
1764882598940,2,8,7
1764882598992,2,8,7
1764882599043,2,8,7
1764882599094,2,8,12
1764882599145,2,8,12
1764882599205,2,8,12
1764882599251,2,13,14
1764882599303,2,13,14
1764882599353,2,13,14
1764882599404,2,13,14
1764882599453,2,14,8
1764882599504,2,14,8
1764882599555,2,14,8
1764882599606,2,9,6
1764882599658,2,9,6
1764882599713,2,9,6
1764882599764,2,9,6
1764882599816,2,5,6
1764882599864,2,5,6
1764882599915,2,5,6
1764882599965,2,3,10
1764882600016,2,3,10
1764882600067,2,3,10
1764882600119,2,3,10
1764882600170,2,3,10
1764882600232,2,3,10
1764882600277,2,3,10
1764882600325,2,3,10
1764882600374,2,3,10
1764882600427,2,3,10
1764882600427,1,4,14
1764882600478,2,3,10
1764882600478,1,4,14
1764882600529,1,4,14
1764882600529,2,3,10
1764882600581,1,4,14
1764882600581,2,3,10
1764882600632,1,1,10
1764882600632,2,3,10
1764882600683,1,1,10
1764882600683,2,3,10
1764882600735,1,1,10
1764882600735,2,3,10
1764882600787,1,1,10
1764882600787,2,3,10
1764882600842,1,2,4
1764882600842,2,3,10
1764882600890,1,2,4
1764882600890,2,3,10
1764882600940,1,2,4
1764882600940,2,3,10
1764882600990,1,7,5
1764882600990,2,3,10
1764882601041,1,7,5
1764882601041,2,3,10
1764882601092,1,7,5
1764882601092,2,3,10
1764882601148,1,11,12
1764882601148,2,3,10
1764882601195,1,11,12
1764882601195,2,3,10
1764882601246,1,11,12
1764882601246,2,3,10
1764882601302,1,11,12
1764882601302,2,3,10
1764882601354,1,14,10
1764882601354,2,3,10
1764882601404,1,14,10
1764882601404,2,3,10
1764882601452,1,14,10
1764882601452,2,3,10
1764882601503,1,14,4
1764882601503,2,3,10
1764882601556,1,14,4
1764882601556,2,3,10
1764882601607,1,14,4
1764882601607,2,3,10
1764882601657,1,14,4
1764882601657,2,3,10
1764882601706,1,9,3
1764882601706,2,3,10
1764882601757,1,9,3
1764882601757,2,3,10
1764882601809,1,9,3
1764882601809,2,3,10
1764882601860,1,9,3
1764882601860,2,3,10
1764882601911,1,7,10
1764882601911,2,3,10
1764882601962,1,7,10
1764882601962,2,3,10
1764882602013,1,7,10
1764882602013,2,3,10
1764882602070,1,11,14
1764882602070,2,3,10
1764882602119,1,11,14
1764882602119,2,3,10
1764882602169,1,11,14
1764882602169,2,3,10
1764882602220,1,15,14
1764882602220,2,3,10
1764882602270,1,15,14
1764882602270,2,3,10
1764882602322,1,15,14
1764882602322,2,3,10
1764882602373,1,15,14
1764882602373,2,3,10
1764882602424,1,16,7
1764882602424,2,3,10
1764882602474,1,16,7
1764882602474,2,3,10
1764882602525,1,16,7
1764882602525,2,3,10
1764882602578,1,16,7
1764882602578,2,3,10
1764882602631,1,14,2
1764882602631,2,3,10
1764882602683,1,14,2
1764882602683,2,3,10
1764882602731,1,14,2
1764882602731,2,3,10
1764882602782,1,8,2
1764882602782,2,3,10
1764882602833,1,8,2
1764882602833,2,3,10
1764882602887,1,8,2
1764882602887,2,3,10
1764882602936,1,3,7
1764882602936,2,3,10
1764882602987,1,3,7
1764882602987,2,3,10
1764882603038,1,3,7
1764882603038,2,3,10
1764882603094,1,3,7
1764882603094,2,3,10
1764882603144,1,6,13
1764882603144,2,3,10
1764882603195,1,6,13
1764882603195,2,3,10
1764882603243,1,6,13
1764882603243,2,3,10
1764882603298,1,14,12
1764882603298,2,3,10
1764882603345,1,14,12
1764882603345,2,3,10
1764882603396,1,14,12
1764882603396,2,3,10
1764882603448,1,14,12
1764882603448,2,3,10
1764882603499,1,14,12
1764882603499,2,3,10
1764882603550,1,14,12
1764882603550,2,3,10
1764882603601,1,14,12
1764882603601,2,3,10
1764882603659,1,14,12
1764882603659,2,3,10
1764882603706,1,14,12
1764882603706,2,3,10
1764882603762,1,14,12
1764882603762,2,3,10
1764882603813,1,14,12
1764882603813,2,3,10
1764882603867,1,14,12
1764882603867,2,3,10
1764882603968,1,14,12
1764882603968,2,3,10
1764882603969,1,14,12
1764882603969,2,3,10
1764882604091,1,14,12
1764882604091,2,3,10
1764882604091,1,14,12
1764882604091,2,3,10
1764882604123,1,14,12
1764882604123,2,3,10
