timestamp_ms,snapshot_id,player_id,x,y
1764882598726,194,2,11,5
1764882598777,195,2,11,5
1764882598828,196,2,11,5
1764882598879,197,2,11,5
1764882598930,198,2,8,7
1764882598991,199,2,8,7
1764882599042,200,2,8,7
1764882599093,201,2,8,12
1764882599144,202,2,8,12
1764882599196,203,2,8,12
1764882599247,204,2,13,14
1764882599299,205,2,13,14
1764882599350,206,2,13,14
1764882599401,207,2,13,14
1764882599452,208,2,14,8
1764882599503,209,2,14,8
1764882599554,210,2,14,8
1764882599605,211,2,9,6
1764882599657,212,2,9,6
1764882599708,213,2,9,6
1764882599759,214,2,9,6
1764882599811,215,2,5,6
1764882599862,216,2,5,6
1764882599913,217,2,5,6
1764882599964,218,2,3,10
1764882600015,219,2,3,10
1764882600066,220,2,3,10
1764882600118,221,2,3,10
1764882600169,222,2,3,10
1764882600220,223,2,3,10
1764882600272,224,2,3,10
1764882600323,225,2,3,10
1764882600373,226,2,3,10
1764882600425,227,1,4,14
1764882600425,227,2,3,10
1764882600476,228,1,4,14
1764882600476,228,2,3,10
1764882600529,229,1,4,14
1764882600529,229,2,3,10
1764882600580,230,1,4,14
1764882600580,230,2,3,10
1764882600631,231,1,1,10
1764882600631,231,2,3,10
1764882600682,232,1,1,10
1764882600682,232,2,3,10
1764882600733,233,1,1,10
1764882600733,233,2,3,10
1764882600785,234,1,1,10
1764882600785,234,2,3,10
1764882600836,235,1,2,4
1764882600836,235,2,3,10
1764882600887,236,1,2,4
1764882600887,236,2,3,10
1764882600938,237,1,2,4
1764882600938,237,2,3,10
1764882600989,238,1,7,5
1764882600989,238,2,3,10
1764882601041,239,1,7,5
1764882601041,239,2,3,10
1764882601092,240,1,7,5
1764882601092,240,2,3,10
1764882601143,241,1,11,12
1764882601143,241,2,3,10
1764882601194,242,1,11,12
1764882601194,242,2,3,10
1764882601245,243,1,11,12
1764882601245,243,2,3,10
1764882601296,244,1,11,12
1764882601296,244,2,3,10
1764882601348,245,1,14,10
1764882601348,245,2,3,10
1764882601399,246,1,14,10
1764882601399,246,2,3,10
1764882601450,247,1,14,10
1764882601450,247,2,3,10
1764882601501,248,1,14,4
1764882601501,248,2,3,10
1764882601552,249,1,14,4
1764882601552,249,2,3,10
1764882601603,250,1,14,4
1764882601603,250,2,3,10
1764882601654,251,1,14,4
1764882601654,251,2,3,10
1764882601705,252,1,9,3
1764882601705,252,2,3,10
1764882601757,253,1,9,3
1764882601757,253,2,3,10
1764882601808,254,1,9,3
1764882601808,254,2,3,10
1764882601859,255,1,9,3
1764882601859,255,2,3,10
1764882601910,256,1,7,10
1764882601910,256,2,3,10
1764882601961,257,1,7,10
1764882601961,257,2,3,10
1764882602012,258,1,7,10
1764882602012,258,2,3,10
1764882602064,259,1,11,14
1764882602064,259,2,3,10
1764882602115,260,1,11,14
1764882602115,260,2,3,10
1764882602167,261,1,11,14
1764882602167,261,2,3,10
1764882602218,262,1,15,14
1764882602218,262,2,3,10
1764882602269,263,1,15,14
1764882602269,263,2,3,10
1764882602320,264,1,15,14
1764882602320,264,2,3,10
1764882602371,265,1,15,14
1764882602371,265,2,3,10
1764882602423,266,1,16,7
1764882602423,266,2,3,10
1764882602474,267,1,16,7
1764882602474,267,2,3,10
1764882602525,268,1,16,7
1764882602525,268,2,3,10
1764882602576,269,1,16,7
1764882602576,269,2,3,10
1764882602627,270,1,14,2
1764882602627,270,2,3,10
1764882602678,271,1,14,2
1764882602678,271,2,3,10
1764882602730,272,1,14,2
1764882602730,272,2,3,10
1764882602781,273,1,8,2
1764882602781,273,2,3,10
1764882602833,274,1,8,2
1764882602833,274,2,3,10
1764882602884,275,1,8,2
1764882602884,275,2,3,10
1764882602935,276,1,3,7
1764882602935,276,2,3,10
1764882602986,277,1,3,7
1764882602986,277,2,3,10
1764882603037,278,1,3,7
1764882603037,278,2,3,10
1764882603088,279,1,3,7
1764882603088,279,2,3,10
1764882603139,280,1,6,13
1764882603139,280,2,3,10
1764882603190,281,1,6,13
1764882603190,281,2,3,10
1764882603242,282,1,6,13
1764882603242,282,2,3,10
1764882603293,283,1,14,12
1764882603293,283,2,3,10
1764882603344,284,1,14,12
1764882603344,284,2,3,10
1764882603396,285,1,14,12
1764882603396,285,2,3,10
1764882603447,286,1,14,12
1764882603447,286,2,3,10
1764882603498,287,1,14,12
1764882603498,287,2,3,10
1764882603549,288,1,14,12
1764882603549,288,2,3,10
1764882603600,289,1,14,12
1764882603600,289,2,3,10
1764882603652,290,1,14,12
1764882603652,290,2,3,10
1764882603703,291,1,14,12
1764882603703,291,2,3,10
1764882603754,292,1,14,12
1764882603754,292,2,3,10
1764882603805,293,1,14,12
1764882603805,293,2,3,10
1764882603866,294,1,14,12
1764882603866,294,2,3,10
1764882603917,295,1,14,12
1764882603917,295,2,3,10
1764882603968,296,1,14,12
1764882603968,296,2,3,10
1764882604019,297,1,14,12
1764882604019,297,2,3,10
1764882604071,298,1,14,12
1764882604071,298,2,3,10
1764882604122,299,1,14,12
1764882604122,299,2,3,10
